cusip,options,issuer,description,status
D1668R 12 3,*,DAIMLER AG,REG SHS,
D1668R 90 3,,DAIMLER AG,CALL,
D1668R 95 3,,DAIMLER AG,PUT,
D18190 89 8,*,DEUTSCHE BANK AG,NAMEN AKT,
D18190 90 8,,DEUTSCHE BANK AG,CALL,
D18190 95 8,,DEUTSCHE BANK AG,PUT,
E90215 10 9,*,TELVENT GIT SA,SHS,
E90215 90 9,,TELVENT GIT SA,CALL,
E90215 95 9,,TELVENT GIT SA,PUT,
G0129K 10 4,*,AIRCASTLE LTD,COM,
G0129K 90 4,,AIRCASTLE LTD,CALL,
G0129K 95 4,,AIRCASTLE LTD,PUT,
G0219G 20 3,*,ALLIED WRLD ASSUR COM HLDG L,SHS,
G0219G 90 3,,ALLIED WRLD ASSUR COM HLDG L,CALL,
G0219G 95 3,,ALLIED WRLD ASSUR COM HLDG L,PUT,
G02602 10 3,*,AMDOCS LTD,ORD,
G02602 90 3,,AMDOCS LTD,CALL,
G02602 95 3,,AMDOCS LTD,PUT,
G02995 10 1,,AMERICAN SAFETY INS HLDGS LT,ORD,
G04136 10 0,*,A POWER ENERGY GENERAT SYS L,COM,
G04136 90 0,,A POWER ENERGY GENERAT SYS L,CALL,
G04136 95 0,,A POWER ENERGY GENERAT SYS L,PUT,
G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,
G0450A 90 5,,ARCH CAP GROUP LTD,CALL,
G0450A 95 5,,ARCH CAP GROUP LTD,PUT,
G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,
G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,
G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,
G0471F 10 9,,APCO OIL & GAS INTERNATIONAL,SHS,
G0474B 10 5,,ARIES MARITIME TRNSPRT LTD,SHS,DELETED
G0538M 10 5,,ASIA SPECIAL SIT ACQST CORP,SHS,DELETED
G0538M 11 3,,ASIA SPECIAL SIT ACQST CORP,UNIT 99/99/9999,DELETED
G05384 10 5,*,ASPEN INSURANCE HOLDINGS LTD,SHS,
G05384 90 5,,ASPEN INSURANCE HOLDINGS LTD,CALL,
G05384 95 5,,ASPEN INSURANCE HOLDINGS LTD,PUT,
G05384 11 3,,ASPEN INSURANCE HOLDINGS LTD,PFD PRP INC EQ,
G0585R 10 6,*,ASSURED GUARANTY LTD,COM,
G0585R 90 6,,ASSURED GUARANTY LTD,CALL,
G0585R 95 6,,ASSURED GUARANTY LTD,PUT,
G06750 10 6,,AUTOCHINA INTERNATIONAL LIMI,SHS,
G06750 11 4,,AUTOCHINA INTERNATIONAL LIMI,*W EXP 02/27/201,DELETED
G06750 12 2,,AUTOCHINA INTERNATIONAL LIMI,UNIT 99/99/9999,DELETED
G0692U 10 9,*,AXIS CAPITAL HOLDINGS,SHS,
G0692U 90 9,,AXIS CAPITAL HOLDINGS,CALL,
G0692U 95 9,,AXIS CAPITAL HOLDINGS,PUT,
G10082 10 8,,ENERGY XXI (BERMUDA) LTD,COM SHS,DELETED
G10082 14 0,*,ENERGY XXI (BERMUDA) LTD,USD UNRS SHS,ADDED
G10082 90 0,,ENERGY XXI (BERMUDA) LTD,CALL,ADDED
G10082 95 0,,ENERGY XXI (BERMUDA) LTD,PUT,ADDED
G1151C 10 1,*,ACCENTURE PLC IRELAND,SHS CLASS A,
G1151C 90 1,,ACCENTURE PLC IRELAND,CALL,
G1151C 95 1,,ACCENTURE PLC IRELAND,PUT,
G16252 10 1,*,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,
G16252 90 1,,BROOKFIELD INFRAST PARTNERS,CALL,
G16252 95 1,,BROOKFIELD INFRAST PARTNERS,PUT,
G16962 10 5,*,BUNGE LIMITED,COM,
G16962 90 5,,BUNGE LIMITED,CALL,
G16962 95 5,,BUNGE LIMITED,PUT,
G20045 20 2,*,CENTRAL EUROPEAN MEDIA ENTRP,CL A NEW,
G20045 90 2,,CENTRAL EUROPEAN MEDIA ENTRP,CALL,
G20045 95 2,,CENTRAL EUROPEAN MEDIA ENTRP,PUT,
G2022L 10 6,*,CDC CORP,SHS A,
G2022L 90 6,,CDC CORP,CALL,
G2022L 95 6,,CDC CORP,PUT,
G21082 10 5,*,CHINA YUCHAI INTL LTD,COM,
G21082 90 5,,CHINA YUCHAI INTL LTD,CALL,
G21082 95 5,,CHINA YUCHAI INTL LTD,PUT,
G2110R 10 6,*,CHIPMOS TECH BERMUDA LTD,SHS,
G2110R 90 6,,CHIPMOS TECH BERMUDA LTD,CALL,
G2110R 95 6,,CHIPMOS TECH BERMUDA LTD,PUT,
G2110U 10 9,,CHINA NATURAL RESOURCES INC,COM,
G21101 10 3,*,CHINA GERUI ADV MAT GR LTD,SHS,
G21101 90 3,,CHINA GERUI ADV MAT GR LTD,CALL,
G21101 95 3,,CHINA GERUI ADV MAT GR LTD,PUT,
G21101 11 1,,CHINA GERUI ADV MAT GR LTD,*W EXP 03/19/201,
G21101 12 9,,CHINA GERUI ADV MAT GR LTD,UNIT 03/19/2011,
G21107 10 0,,CHINA CORD BLOOD CORP,SHS,
G2112E 14 5,,CHINA HYDROELECTRIC CORPORAT,*W EXP 01/25/201,ADDED
G21176 10 5,,CHINA CABLECOM HOLDINGS LTD,SHS,DELETED
G21176 11 3,,CHINA CABLECOM HOLDINGS LTD,*W EXP 04/10/201,
G21176 20 4,,CHINA CABLECOM HOLDINGS LTD,UNIT 04/10/2010,DELETED
G21176 30 3,,CHINA CABLECOM HOLDINGS LTD,SHS,ADDED
G21176 40 2,,CHINA CABLECOM HOLDINGS LTD,UNIT 04/10/2010,ADDED
G23773 10 7,,CONSOLIDATED WATER CO INC,ORD,
G24140 10 8,*,COOPER INDUSTRIES PLC,SHS,
G24140 90 8,,COOPER INDUSTRIES PLC,CALL,
G24140 95 8,,COOPER INDUSTRIES PLC,PUT,
G2519Y 10 8,*,CREDICORP LTD,COM,
G2519Y 90 8,,CREDICORP LTD,CALL,
G2519Y 95 8,,CREDICORP LTD,PUT,
G25343 10 7,*,COSAN LTD,SHS A,
G25343 90 7,,COSAN LTD,CALL,
G25343 95 7,,COSAN LTD,PUT,
G2554F 10 5,*,COVIDIEN PLC,SHS,
